Range(m),Elevation(degrees),Azimuth(degrees),Reflectivity,Time Stamp(s),Latitude,Longitude,Time Stamp(s)
9.269999999999999574e+00,1.000000000000000000e+00,2.696083333333333485e+02,1.900000000000000000e+01,2.473066463999999996e+03,3.410640316666666649e+01,-1.177120429999999942e+02,2.473141916000000037e+03
9.278000000000000469e+00,1.000000000000000000e+00,2.698083333333333371e+02,2.100000000000000000e+01,2.473066463999999996e+03,3.410640316666666649e+01,-1.177120429999999942e+02,2.473141916000000037e+03
9.294000000000000483e+00,1.000000000000000000e+00,2.705081250000000068e+02,1.900000000000000000e+01,2.473566781999999876e+03,3.410640250000000151e+01,-1.177120436666666734e+02,2.473641162999999779e+03
9.262000000000000455e+00,1.000000000000000000e+00,2.707031250000000000e+02,8.500000000000000000e+01,2.473566781999999876e+03,3.410640250000000151e+01,-1.177120436666666734e+02,2.473641162999999779e+03
9.288000000000000256e+00,1.000000000000000000e+00,2.703783333333333303e+02,2.100000000000000000e+01,2.473866708000000017e+03,3.410640250000000151e+01,-1.177120436666666734e+02,2.473940646999999899e+03
9.298000000000000043e+00,1.000000000000000000e+00,2.705783333333333189e+02,5.600000000000000000e+01,2.473866708000000017e+03,3.410640250000000151e+01,-1.177120436666666734e+02,2.473940646999999899e+03
9.272000000000000242e+00,1.000000000000000000e+00,2.697083333333333144e+02,2.100000000000000000e+01,2.474166632999999820e+03,3.410640183333333653e+01,-1.177120445000000046e+02,2.474239222000000154e+03
9.275999999999999801e+00,1.000000000000000000e+00,2.699083333333333599e+02,1.900000000000000000e+01,2.474166632999999820e+03,3.410640183333333653e+01,-1.177120445000000046e+02,2.474239222000000154e+03
9.269999999999999574e+00,1.000000000000000000e+00,2.697679166666666788e+02,1.900000000000000000e+01,2.474466558999999961e+03,3.410640183333333653e+01,-1.177120445000000046e+02,2.474547987999999805e+03
9.272000000000000242e+00,1.000000000000000000e+00,2.699579166666666765e+02,1.900000000000000000e+01,2.474466558999999961e+03,3.410640183333333653e+01,-1.177120445000000046e+02,2.474547987999999805e+03
9.282000000000000028e+00,1.000000000000000000e+00,2.704083333333333030e+02,2.100000000000000000e+01,2.475566729000000123e+03,3.410640116666666444e+01,-1.177120450000000034e+02,2.475634156000000075e+03
9.285999999999999588e+00,1.000000000000000000e+00,2.706083333333333485e+02,1.000000000000000000e+02,2.475566729000000123e+03,3.410640116666666444e+01,-1.177120450000000034e+02,2.475634156000000075e+03
9.273999999999999133e+00,1.000000000000000000e+00,2.701783333333333417e+02,1.900000000000000000e+01,2.475866653999999926e+03,3.410640116666666444e+01,-1.177120450000000034e+02,2.475943049999999857e+03
9.278000000000000469e+00,1.000000000000000000e+00,2.703783333333333303e+02,2.200000000000000000e+01,2.475866653999999926e+03,3.410640116666666444e+01,-1.177120450000000034e+02,2.475943049999999857e+03
9.279999999999999361e+00,1.000000000000000000e+00,2.699479166666666856e+02,1.700000000000000000e+01,2.476166580000000067e+03,3.410640083333333195e+01,-1.177120456666666684e+02,2.476241363000000092e+03
