Range(m),Elevation(degrees),Azimuth(degrees),Reflectivity,Time Stamp(s),Latitude,Longitude,Time Stamp(s)
1.323399999999999999e+01,1.000000000000000000e+00,9.049312500000000625e+01,2.500000000000000000e+01,2.131116743000000042e+03,3.410641150000000010e+01,-1.177119928333333263e+02,2.131191871999999876e+03
1.322600000000000087e+01,1.000000000000000000e+00,9.039833333333334053e+01,2.300000000000000000e+01,2.131416669000000184e+03,3.410641150000000010e+01,-1.177119928333333263e+02,2.131490115999999944e+03
1.323799999999999955e+01,1.000000000000000000e+00,9.059833333333334338e+01,2.300000000000000000e+01,2.131416669000000184e+03,3.410641150000000010e+01,-1.177119928333333263e+02,2.131490115999999944e+03
1.259399999999999942e+01,1.000000000000000000e+00,8.962854166666667766e+01,9.900000000000000000e+01,2.131716593999999986e+03,3.410641150000000010e+01,-1.177119928333333263e+02,2.131788122999999814e+03
1.287599999999999945e+01,1.000000000000000000e+00,8.983354166666667595e+01,1.000000000000000000e+02,2.131716593999999986e+03,3.410641150000000010e+01,-1.177119928333333263e+02,2.131788122999999814e+03
1.260800000000000054e+01,1.000000000000000000e+00,8.956833333333334224e+01,8.900000000000000000e+01,2.132016520000000128e+03,3.410641150000000010e+01,-1.177119928333333263e+02,2.132096967999999833e+03
1.281799999999999962e+01,1.000000000000000000e+00,8.976833333333333087e+01,1.000000000000000000e+02,2.132016520000000128e+03,3.410641150000000010e+01,-1.177119928333333263e+02,2.132096967999999833e+03
1.323199999999999932e+01,1.000000000000000000e+00,9.040833333333334565e+01,2.500000000000000000e+01,2.132516838000000007e+03,3.410641150000000010e+01,-1.177119930000000068e+02,2.132588139999999839e+03
1.324600000000000044e+01,1.000000000000000000e+00,9.060833333333333428e+01,2.300000000000000000e+01,2.132516838000000007e+03,3.410641150000000010e+01,-1.177119930000000068e+02,2.132588139999999839e+03
1.323399999999999999e+01,1.000000000000000000e+00,9.032812500000000000e+01,2.300000000000000000e+01,2.133116689999999835e+03,3.410641150000000010e+01,-1.177119930000000068e+02,2.133194109000000026e+03
1.321799999999999997e+01,1.000000000000000000e+00,9.052312499999999318e+01,2.500000000000000000e+01,2.133116689999999835e+03,3.410641150000000010e+01,-1.177119930000000068e+02,2.133194109000000026e+03
1.309600000000000009e+01,1.000000000000000000e+00,9.009854166666667652e+01,2.500000000000000000e+01,2.133416615000000093e+03,3.410641150000000010e+01,-1.177119930000000068e+02,2.133492795999999998e+03
1.322600000000000087e+01,1.000000000000000000e+00,9.030354166666667481e+01,2.300000000000000000e+01,2.133416615000000093e+03,3.410641150000000010e+01,-1.177119930000000068e+02,2.133492795999999998e+03
1.321799999999999997e+01,1.000000000000000000e+00,9.015812500000001251e+01,1.900000000000000000e+01,2.133716540999999779e+03,3.410641150000000010e+01,-1.177119930000000068e+02,2.133790476000000126e+03
1.324600000000000044e+01,1.000000000000000000e+00,9.035312500000000568e+01,2.300000000000000000e+01,2.133716540999999779e+03,3.410641150000000010e+01,-1.177119930000000068e+02,2.133790476000000126e+03
1.291200000000000081e+01,1.000000000000000000e+00,8.992791666666667538e+01,1.000000000000000000e+02,2.134816710999999941e+03,3.410641166666666635e+01,-1.177119930000000068e+02,2.134887686000000031e+03
1.313000000000000078e+01,1.000000000000000000e+00,9.011791666666667311e+01,2.100000000000000000e+01,2.134816710999999941e+03,3.410641166666666635e+01,-1.177119930000000068e+02,2.134887686000000031e+03
1.313599999999999923e+01,1.000000000000000000e+00,9.012833333333334451e+01,2.100000000000000000e+01,2.135116636000000199e+03,3.410641166666666635e+01,-1.177119930000000068e+02,2.135186205999999856e+03
1.324600000000000044e+01,1.000000000000000000e+00,9.032833333333333314e+01,2.300000000000000000e+01,2.135116636000000199e+03,3.410641166666666635e+01,-1.177119930000000068e+02,2.135186205999999856e+03
1.289600000000000080e+01,1.000000000000000000e+00,8.986812500000000625e+01,1.000000000000000000e+02,2.135416561999999885e+03,3.410641166666666635e+01,-1.177119930000000068e+02,2.135483822000000146e+03
1.300000000000000000e+01,1.000000000000000000e+00,9.006312499999999943e+01,3.100000000000000000e+01,2.135416561999999885e+03,3.410641166666666635e+01,-1.177119930000000068e+02,2.135483822000000146e+03
1.266799999999999926e+01,1.000000000000000000e+00,8.971854166666666686e+01,1.000000000000000000e+02,2.136016412999999829e+03,3.410641166666666635e+01,-1.177119930000000068e+02,2.136091407999999774e+03
1.289600000000000080e+01,1.000000000000000000e+00,8.992354166666666515e+01,1.000000000000000000e+02,2.136016412999999829e+03,3.410641166666666635e+01,-1.177119930000000068e+02,2.136091407999999774e+03
1.323399999999999999e+01,1.000000000000000000e+00,9.030854166666667027e+01,2.300000000000000000e+01,2.136516731000000163e+03,3.410641166666666635e+01,-1.177119923333333276e+02,2.136591801999999916e+03
1.324600000000000044e+01,1.000000000000000000e+00,9.051354166666666856e+01,2.300000000000000000e+01,2.136516731000000163e+03,3.410641166666666635e+01,-1.177119923333333276e+02,2.136591801999999916e+03
1.322400000000000020e+01,1.000000000000000000e+00,9.030833333333333712e+01,2.500000000000000000e+01,2.136816656999999850e+03,3.410641166666666635e+01,-1.177119923333333276e+02,2.136896554999999807e+03
1.323199999999999932e+01,1.000000000000000000e+00,9.050833333333333997e+01,2.500000000000000000e+01,2.136816656999999850e+03,3.410641166666666635e+01,-1.177119923333333276e+02,2.136896554999999807e+03
1.261599999999999966e+01,1.000000000000000000e+00,8.950833333333333997e+01,9.500000000000000000e+01,2.137716433999999936e+03,3.410641183333333259e+01,-1.177119923333333276e+02,2.137795263999999861e+03
1.261599999999999966e+01,1.000000000000000000e+00,8.970833333333334281e+01,1.000000000000000000e+02,2.137716433999999936e+03,3.410641183333333259e+01,-1.177119923333333276e+02,2.137795263999999861e+03
1.259200000000000053e+01,1.000000000000000000e+00,8.958812500000000512e+01,9.300000000000000000e+01,2.138316284999999880e+03,3.410641199999999884e+01,-1.177119924999999938e+02,2.138391407999999956e+03
1.283999999999999986e+01,1.000000000000000000e+00,8.978312499999999829e+01,1.000000000000000000e+02,2.138316284999999880e+03,3.410641199999999884e+01,-1.177119924999999938e+02,2.138391407999999956e+03
1.322600000000000087e+01,1.000000000000000000e+00,9.042854166666667481e+01,2.300000000000000000e+01,2.138516677999999956e+03,3.410641199999999884e+01,-1.177119924999999938e+02,2.138594168999999965e+03
1.324000000000000021e+01,1.000000000000000000e+00,9.063354166666667311e+01,2.100000000000000000e+01,2.138516677999999956e+03,3.410641199999999884e+01,-1.177119924999999938e+02,2.138594168999999965e+03
1.290600000000000058e+01,1.000000000000000000e+00,8.994833333333333769e+01,9.900000000000000000e+01,2.138816604000000098e+03,3.410641199999999884e+01,-1.177119924999999938e+02,2.138893305999999939e+03
1.318200000000000038e+01,1.000000000000000000e+00,9.014833333333334053e+01,1.900000000000000000e+01,2.138816604000000098e+03,3.410641199999999884e+01,-1.177119924999999938e+02,2.138893305999999939e+03
1.287599999999999945e+01,1.000000000000000000e+00,8.982791666666666686e+01,1.000000000000000000e+02,2.139116528999999900e+03,3.410641216666666509e+01,-1.177119926666666601e+02,2.139189911999999822e+03
1.292600000000000016e+01,1.000000000000000000e+00,9.001791666666666458e+01,7.200000000000000000e+01,2.139116528999999900e+03,3.410641216666666509e+01,-1.177119926666666601e+02,2.139189911999999822e+03
1.323600000000000065e+01,1.000000000000000000e+00,9.048812500000001080e+01,2.500000000000000000e+01,2.140516625000000204e+03,3.410641233333333133e+01,-1.177119928333333263e+02,2.140590994000000137e+03
1.324600000000000044e+01,1.000000000000000000e+00,9.068312500000000398e+01,1.900000000000000000e+01,2.140516625000000204e+03,3.410641233333333133e+01,-1.177119928333333263e+02,2.140590994000000137e+03
1.291000000000000014e+01,1.000000000000000000e+00,8.997833333333333883e+01,9.700000000000000000e+01,2.140816550000000007e+03,3.410641233333333133e+01,-1.177119928333333263e+02,2.140894034999999803e+03
